Article,neuf_price,occasion_price,description
C32 Ta-1534 Ds 4/64 Euro1b Charcoal,"139,80 €",N/A,
Nokia G22 4Go/128Go Gris (Meteor Gray) Double SIM,"199,99 €",N/A,"Ecran 3.8"" Double SIM"
Nokia 6300 Noir argenté,"36,68 €",N/A,"Ecran 2"" Single-SIM (SIM unique) Couleur Noir argenté"
Nokia 8210 2G telephone Noir,"28,96 €",N/A,"Ecran 3.8"""
Nokia 105 (2023) Gris Charbon,"29,90 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
"Nokia 150 6,1 Cm (2.4"") 90,53 G Cyan Téléphone Numérique","132,08 €",N/A,"Ecran 3.8"""
Nokia G22 128 Go 4 Go RAM Android 12 Double Sim Gris Meteor,"324,65 €",N/A,"Ecran 6.52"" Mémoire 128 Go / RAM 4 Go Android Double SIM Couleur Gris"
Nokia 3410 Bleu,30 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia G42 5G Dual-SIM 128 Go Rose,"187,68 €",N/A,"Ecran 3.8"" Réseau 5G Mémoire 128 Go / RAM 6 Go Double SIM"
6300 4g Ta-1287 Ds Fr Charcoal,"114,23 €",N/A,Réseau 4G
Nokia 105 4g Dual Sim Black,"48,62 €",N/A,"Ecran 3.8"" Réseau 4G Double SIM"
Nokia C2-01 Cyan,35 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
"Nok 150 Dual Sim 2020 P- 2,4 Bk | Nokia Compatible 150 Dual","58,99 €",N/A,"Ecran 3.8"" Double SIM"
Nokia 6301 Rouge,42 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
"SMARTPHONE NOKIA G42 6,56"" 5G DOUBLE SIM 128 GO VIOLET","246,99 €",N/A,"Ecran 3.8"" Réseau 5G Double SIM"
Nokia 3100 2G Bouton Telephone Bleu clair,"25,69 €",N/A,"Ecran 3.8"""
Nokia 3100 2G Bouton Telephone Bleu marine,24 €,N/A,"Ecran 3.8"""
Nokia 220 2G Telephone Bouton 2.4 Pouces 2MP Camera Double SIM Bleu,"60,96 €",N/A,"Ecran 3.8"" Double SIM"
Nokia G42 5G 128 Go Gris,"238,99 €",N/A,"Ecran 3.8"" Réseau 5G Double SIM"
